"DIOGENES_FOOD_CODE","COUNTRY_FOOD_CODE","FOODNAME","ENGLISH_TRANS","DIOGENES_FOOD_GRP","CHO_100G.","GI_VAL","GL","GI_CAT","SOURCE_1","SOURCE_2","COMMENT","COUNTRY"
1,"4610001SK00000003050","cirok","Sorghum Grains",6.1,70.93,70,50,"5",NA,NA,"","CZECH"
2,"4610006SK00000003054","cirok. kl<ed><e8>ky","Sorghum Sprouts",6.1,36.3,45,16,"4",NA,NA,"","CZECH"
3,"4610007SK00000003000","ja<e8>me<f2>","Barley Grains",6.1,71.08,27,19,"2","1",NA,"","CZECH"
4,"4610001SK00000003054","ja<e8>me<f2>. kl<ed><e8>ky","Barley Sprouts",6.1,30,45,14,"4",NA,NA,"based on barley gains","CZECH"
5,"4610002SK00000003000","kukurica","Corn Grains",6.1,72.21,70,51,"5",NA,NA,"","CZECH"
6,"4610008SK00000003054","kukurica. kl<ed><e8>ky","Corn Sprouts",6.1,44.4,70,31,"5",NA,NA,"","CZECH"
7,"4610010SK00000003000","ovos","Oat Grains",6.1,65.55,51,33,"2",NA,NA,"","CZECH"
8,"4610011SK00000003054","ovos. kl<ed><e8>ky","Oat Sprouts",6.1,35.1,45,16,"4",NA,NA,"","CZECH"
9,"4610012SK00000003000","poh<e1>nka. na<9e>ky","Buckwheat Samara",6.1,73.82,54,40,"2","1",NA,"","CZECH"
10,"4610003SK00000003000","proso","Millet Grains",6.1,71.05,71,50,"2","5",NA,"","CZECH"
11,"4610013SK00000003004","proso l<fa>pan<e9> (p<9a>eno)","Millet Polished",6.1,71.15,71,51,"2","5",NA,"","CZECH"
12,"4643003SK00000003054","b<e1>bovka","Double Coloured Sponge Cake",5.2,59.6,46,27,"3",NA,NA,"sponge cake","CZECH"
13,"4643005SK00000003004","kol<e1><e8> maslov<fd> s d<9e>emom (hrebe<f2>)","Butter Cake With Jam Filling",5.2,64.67,45,29,"4",NA,NA,"","CZECH"
14,"4643006SK00000003004","kol<e1><e8> maslov<fd> s n<e1>pl<f2>ou makovou (hrebe<f2>)","Butter Cake With Poppy Seed Filling",5.2,56.81,45,26,"4",NA,NA,"","CZECH"
15,"4643007SK00000003004","kol<e1><e8> maslov<fd> s n<e1>pl<f2>ou tvarohovou (hrebe<f2>)","Butter Cake With Curd Filling",5.2,46.8,45,21,"4",NA,NA,"","CZECH"
16,"4643008SK00000003004","kol<e1><e8> tukov<fd> s marmel<e1>dou (<9a>at<f4><e8>ka)","Fatty Cake With Jam Filling",5.2,64.29,45,29,"4",NA,NA,"","CZECH"
17,"4643009SK00000003004","kol<e1><e8> tukov<fd> s n<e1>pl<f2>ou makovou (<9a>at<f4><e8>ka)","Fatty Cake With Poppy Seed Filling",5.2,55.33,45,25,"4",NA,NA,"","CZECH"
18,"4643010SK00000003004","kol<e1><e8> tukov<fd> s orechovou n<e1>pl<f2>ou (<9a>at<f4><e8>ka)","Fatty Cake With Nut Filling",5.2,55.98,45,25,"4",NA,NA,"","CZECH"
19,"4643011SK00000003004","kol<e1><e8> tukov<fd> s tvarohovou n<e1>pl<f2>ou (<9a>at<f4><e8>ka)","Fatty Cake With Curd Filling",5.2,46.9,45,21,"4",NA,NA,"","CZECH"
