Date,Rate
2/24/2000,1.778
2/25/2000,1.774532
2/28/2000,1.773355
2/29/2000,1.776178
3/1/2000,1.767353
3/2/2000,1.760648
3/3/2000,1.756
3/6/2000,1.743826
3/7/2000,1.744698
3/8/2000,1.744
3/9/2000,1.740522
3/10/2000,1.737347
3/13/2000,1.744826
3/14/2000,1.743302
3/15/2000,1.738
3/16/2000,1.73913
3/17/2000,1.740696
3/20/2000,1.738695
3/21/2000,1.737347
3/22/2000,1.733693
3/23/2000,1.727136
3/24/2000,1.719
3/27/2000,1.733
3/28/2000,1.748
3/29/2000,1.741696
3/30/2000,1.743651
3/31/2000,1.744302
4/3/2000,1.73248
4/4/2000,1.74187
4/5/2000,1.745174
4/6/2000,1.748874
4/7/2000,1.740522
4/10/2000,1.739478
4/11/2000,1.741477
4/12/2000,1.741477
4/13/2000,1.754
4/14/2000,1.779466
4/17/2000,1.785
4/18/2000,1.775
4/19/2000,1.760176
4/20/2000,1.775
4/21/2000,1.776355
4/24/2000,1.776355
4/25/2000,1.792358
4/26/2000,1.788358
4/27/2000,1.80064
4/28/2000,1.804541
5/1/2000,1.80418
5/2/2000,1.804722
5/3/2000,1.80164
5/4/2000,1.815544
5/5/2000,1.810181
5/8/2000,1.79864
5/9/2000,1.805819
5/10/2000,1.809095
5/11/2000,1.814363
5/12/2000,1.814363
5/15/2000,1.836
5/16/2000,1.823
5/17/2000,1.817182
5/18/2000,1.829914
5/19/2000,1.834184
5/22/2000,1.839736
5/23/2000,1.85
5/24/2000,1.853444
5/25/2000,1.84
5/26/2000,1.845815
5/29/2000,1.829085
5/30/2000,1.823729
5/31/2000,1.81991
6/5/2000,1.8
6/6/2000,1.79
6/7/2000,1.801099
6/8/2000,1.794359
6/9/2000,1.80254
6/12/2000,1.8001
6/13/2000,1.805902
6/14/2000,1.810276
6/15/2000,1.809
6/16/2000,1.810905
6/19/2000,1.80182
6/20/2000,1.801279
6/21/2000,1.8009
6/22/2000,1.810362
6/23/2000,1.810819
6/26/2000,1.825183
6/27/2000,1.821182
6/28/2000,1.817545
6/29/2000,1.818454
6/30/2000,1.811275
7/3/2000,1.805639
7/4/2000,1.812819
7/5/2000,1.808542
7/6/2000,1.80018
7/7/2000,1.79982
7/10/2000,1.80018
7/11/2000,1.793538
7/12/2000,1.80254
7/13/2000,1.80254
7/14/2000,1.810181
7/17/2000,1.80154
7/18/2000,1.795718
7/19/2000,1.795641
7/20/2000,1.802901
7/21/2000,1.794641
7/24/2000,1.793179
7/25/2000,1.789463
7/26/2000,1.791358
7/27/2000,1.786179
7/28/2000,1.779644
7/31/2000,1.784286
8/1/2000,1.779466
8/2/2000,1.787285
8/3/2000,1.791821
8/4/2000,1.792821
8/7/2000,1.790104
8/8/2000,1.79682
8/9/2000,1.793359
8/10/2000,1.795641
8/11/2000,1.795898
8/14/2000,1.8
8/15/2000,1.803902
8/16/2000,1.803361
8/17/2000,1.810094
8/18/2000,1.808723
8/21/2000,1.816363
8/22/2000,1.822364
8/23/2000,1.817
8/24/2000,1.821728
8/25/2000,1.819182
8/28/2000,1.821
8/29/2000,1.831
8/30/2000,1.825635
8/31/2000,1.823365
9/1/2000,1.822271
9/4/2000,1.822271
9/5/2000,1.825912
9/6/2000,1.820454
9/7/2000,1.820818
9/8/2000,1.818454
9/11/2000,1.815726
9/12/2000,1.824365
9/13/2000,1.829183
9/14/2000,1.829549
9/15/2000,1.837184
9/18/2000,1.845446
9/19/2000,1.856814
9/20/2000,1.84974
9/21/2000,1.853815
9/22/2000,1.843553
9/25/2000,1.840184
9/26/2000,1.84837
9/27/2000,1.850925
9/28/2000,1.844
9/29/2000,1.843262
10/2/2000,1.843369
10/3/2000,1.850074
10/4/2000,1.849815
10/5/2000,1.851444
10/6/2000,1.846923
10/9/2000,1.853944
10/10/2000,1.854194
10/11/2000,1.856928
10/12/2000,1.859814
10/13/2000,1.864436
10/16/2000,1.870687
10/17/2000,1.864068
10/18/2000,1.869752
10/19/2000,1.873687
10/20/2000,1.877938
10/23/2000,1.885442
10/24/2000,1.894697
10/25/2000,1.9105
10/26/2000,1.928771
10/27/2000,1.931522
10/30/2000,1.913484
10/31/2000,1.911882
11/1/2000,1.90038
11/2/2000,1.91775
11/3/2000,1.918709
11/6/2000,1.9415
11/7/2000,1.938969
11/8/2000,1.952976
11/9/2000,1.975895
11/10/2000,1.968697
11/13/2000,1.950945
11/14/2000,1.9505
11/15/2000,1.951
11/16/2000,1.946695
11/17/2000,1.95064
11/20/2000,1.917267
11/21/2000,1.915442
11/22/2000,1.920076
11/23/2000,1.931465
11/24/2000,1.957783
11/27/2000,1.959229
11/28/2000,1.970538
11/29/2000,1.9665
11/30/2000,1.9555
12/1/2000,1.979291
12/4/2000,1.975145
12/5/2000,1.978198
12/6/2000,1.956782
12/7/2000,1.973592
12/8/2000,1.973697
12/11/2000,1.968394
12/12/2000,1.9665
12/13/2000,1.967393
12/14/2000,1.964035
12/15/2000,1.963589
12/18/2000,1.965786
12/19/2000,1.95475
12/20/2000,1.955727
12/21/2000,1.959796
12/22/2000,1.952531
12/25/2000,1.959229
12/26/2000,1.959696
12/27/2000,1.96
12/28/2000,1.956837
12/29/2000,1.949695
1/1/2001,1.950475
1/2/2001,1.94989
1/3/2001,1.941944
1/4/2001,1.9309
1/5/2001,1.943194
1/8/2001,1.955232
1/9/2001,1.947584
1/10/2001,1.941944
1/11/2001,1.943139
1/12/2001,1.9555
1/15/2001,1.948279
1/16/2001,1.949279
1/17/2001,1.951445
1/18/2001,1.960334
1/19/2001,1.95725
1/22/2001,1.957642
1/23/2001,1.956337
1/24/2001,1.959283
1/25/2001,1.973039
1/26/2001,1.975198
1/29/2001,1.973539
1/30/2001,1.974237
1/31/2001,1.970197
2/1/2001,1.971197
2/2/2001,1.98875
2/5/2001,1.987295
2/6/2001,2.00145
2/7/2001,2.00145
2/8/2001,2.004252
2/9/2001,1.9895
2/12/2001,1.980792
2/13/2001,1.9825
2/14/2001,1.982948
2/15/2001,1.986147
2/16/2001,1.991699
2/19/2001,1.99795
2/20/2001,2.00095
2/21/2001,2.010103
2/22/2001,2.041612
2/23/2001,2.036861
2/26/2001,2.03375
2/27/2001,2.032156
2/28/2001,2.036157
3/1/2001,2.046022
3/2/2001,2.040408
3/5/2001,2.029014
3/6/2001,2.020904
3/7/2001,2.03486
3/8/2001,2.040816
3/9/2001,2.05157
3/12/2001,2.042704
3/13/2001,2.059706
3/14/2001,2.062119
3/15/2001,2.077623
3/16/2001,2.095669
3/19/2001,2.127213
3/20/2001,2.114846
3/21/2001,2.083417
3/22/2001,2.119424
3/23/2001,2.162148
3/26/2001,2.171651
3/27/2001,2.133427
3/28/2001,2.1225
3/29/2001,2.153326
3/30/2001,2.153111
4/2/2001,2.15218
4/3/2001,2.17475
4/4/2001,2.178371
4/5/2001,2.173652
4/6/2001,2.15243
4/9/2001,2.165332
4/10/2001,2.157363
4/11/2001,2.138105
4/12/2001,2.149715
4/13/2001,2.153965
4/16/2001,2.195878
4/17/2001,2.195097
4/18/2001,2.197098
4/19/2001,2.178
4/20/2001,2.187719
4/23/2001,2.187937
4/24/2001,2.25825
4/25/2001,2.270385
4/26/2001,2.288186
4/27/2001,2.2425
4/30/2001,2.20216
5/1/2001,2.20022
5/2/2001,2.20119
5/3/2001,2.240146
5/4/2001,2.210605
5/7/2001,2.205941
5/8/2001,2.21425
5/9/2001,2.244898
5/10/2001,2.247699
5/11/2001,2.260904
5/14/2001,2.285914
5/15/2001,2.313231
5/16/2001,2.338952
5/17/2001,2.314657
5/18/2001,2.304441
5/21/2001,2.305652
5/22/2001,2.319928
5/23/2001,2.32743
5/24/2001,2.346
5/25/2001,2.35072
5/28/2001,2.319946
5/29/2001,2.337451
5/30/2001,2.348204
5/31/2001,2.343937
6/1/2001,2.381976
6/4/2001,2.380202
6/5/2001,2.385942
6/6/2001,2.383738
6/7/2001,2.388705
6/8/2001,2.361472
6/11/2001,2.360444
6/12/2001,2.38
6/13/2001,2.405202
6/14/2001,2.422242
6/15/2001,2.423735
6/18/2001,2.413974
6/19/2001,2.464485
6/20/2001,2.480242
6/21/2001,2.47474
6/22/2001,2.369237
6/25/2001,2.29873
6/26/2001,2.30115
6/27/2001,2.329733
6/28/2001,2.277411
6/29/2001,2.314463
7/2/2001,2.316408
7/3/2001,2.330915
7/4/2001,2.351455
7/5/2001,2.387455
7/6/2001,2.48375
7/9/2001,2.441994
7/10/2001,2.44874
7/11/2001,2.495249
7/12/2001,2.501
7/13/2001,2.552521
7/16/2001,2.564507
7/17/2001,2.578289
7/18/2001,2.4725
7/19/2001,2.50475
7/20/2001,2.49875
7/24/2001,2.41325
7/25/2001,2.472494
7/26/2001,2.469
7/27/2001,2.506252
7/30/2001,2.456732
7/31/2001,2.424469
8/1/2001,2.470238
8/2/2001,2.497749
8/3/2001,2.488995
8/6/2001,2.50275
8/7/2001,2.455727
8/8/2001,2.473497
8/9/2001,2.469494
8/10/2001,2.476993
8/13/2001,2.46175
8/14/2001,2.4995
8/15/2001,2.514503
8/16/2001,2.493249
8/17/2001,2.50075
8/20/2001,2.519256
8/21/2001,2.518252
8/22/2001,2.550505
8/23/2001,2.521508
8/24/2001,2.53075
8/27/2001,2.547273
8/28/2001,2.557017
8/29/2001,2.558012
8/30/2001,2.545017
8/31/2001,2.531765
9/3/2001,2.564275
9/4/2001,2.5655
9/5/2001,2.554511
9/6/2001,2.58154
9/7/2001,2.582008
9/10/2001,2.572907
9/11/2001,2.60152
9/13/2001,2.688556
9/14/2001,2.673517
9/17/2001,2.678536
9/18/2001,2.666
9/19/2001,2.694539
9/20/2001,2.710813
9/21/2001,2.769607
9/24/2001,2.832165
9/25/2001,2.70079
9/26/2001,2.713356
9/27/2001,2.743097
