Date,Rate
1/4/1999,0.842695
1/5/1999,0.850335
1/6/1999,0.859952
1/7/1999,0.856112
1/8/1999,0.865177
1/11/1999,0.866517
1/12/1999,0.865007
1/13/1999,0.855438
1/14/1999,0.85567
1/15/1999,0.863015
1/18/1999,0.861571
1/19/1999,0.861329
1/20/1999,0.864096
1/21/1999,0.863354
1/22/1999,0.863924
1/25/1999,0.864959
1/26/1999,0.864382
1/27/1999,0.871384
1/28/1999,0.877544
1/29/1999,0.878858
2/1/1999,0.885271
2/2/1999,0.882702
2/3/1999,0.881373
2/4/1999,0.884959
2/5/1999,0.886191
2/8/1999,0.88459
2/9/1999,0.884788
2/10/1999,0.882189
2/11/1999,0.884111
2/12/1999,0.88631
2/15/1999,0.888932
2/16/1999,0.894196
2/17/1999,0.890815
2/18/1999,0.891277
2/19/1999,0.90307
2/22/1999,0.90605
2/23/1999,0.909297
2/24/1999,0.910714
2/25/1999,0.9034
2/26/1999,0.909478
3/1/1999,0.918547
3/2/1999,0.91564
3/3/1999,0.917999
3/4/1999,0.924457
3/5/1999,0.922701
3/8/1999,0.91792
3/9/1999,0.92018
3/10/1999,0.912532
3/11/1999,0.915552
3/12/1999,0.913938
3/15/1999,0.915164
3/16/1999,0.915724
3/17/1999,0.908114
3/18/1999,0.909033
3/19/1999,0.915585
3/22/1999,0.916581
3/23/1999,0.915484
3/24/1999,0.914749
3/25/1999,0.91979
3/26/1999,0.93069
3/29/1999,0.93357
3/30/1999,0.932282
3/31/1999,0.925798
4/1/1999,0.927713
4/5/1999,0.93368
4/6/1999,0.92233
4/7/1999,0.927581
4/8/1999,0.922617
4/9/1999,0.927035
4/12/1999,0.922138
4/13/1999,0.927567
4/14/1999,0.927206
4/15/1999,0.93358
4/16/1999,0.936105
4/19/1999,0.942813
4/20/1999,0.940828
4/21/1999,0.942735
4/22/1999,0.943972
4/23/1999,0.941098
4/26/1999,0.943788
4/27/1999,0.93856
4/28/1999,0.941924
4/29/1999,0.944301
4/30/1999,0.946903
5/3/1999,0.946533
5/4/1999,0.944318
5/5/1999,0.931821
5/6/1999,0.927554
5/7/1999,0.926736
5/10/1999,0.926883
5/11/1999,0.931897
5/12/1999,0.938052
5/13/1999,0.941919
5/14/1999,0.939196
5/17/1999,0.936675
5/18/1999,0.936591
5/19/1999,0.940218
5/20/1999,0.940862
5/21/1999,0.946113
5/25/1999,0.943803
5/26/1999,0.955457
5/27/1999,0.958399
5/28/1999,0.958852
5/31/1999,0.957837
6/1/1999,0.957854
6/2/1999,0.964564
6/3/1999,0.96677
6/4/1999,0.96805
6/7/1999,0.970769
6/8/1999,0.95765
6/9/1999,0.957318
6/10/1999,0.954702
6/11/1999,0.95085
6/14/1999,0.960562
6/15/1999,0.95922
6/16/1999,0.97059
6/17/1999,0.967549
6/18/1999,0.964297
6/21/1999,0.969298
6/22/1999,0.968346
6/23/1999,0.969214
6/24/1999,0.964296
6/25/1999,0.957111
6/28/1999,0.963435
6/29/1999,0.96723
6/30/1999,0.971141
7/2/1999,0.976005
7/5/1999,0.978657
7/6/1999,0.97581
7/7/1999,0.978859
7/8/1999,0.979802
7/9/1999,0.982357
7/12/1999,0.986913
7/13/1999,0.982931
7/14/1999,0.978752
7/15/1999,0.978937
7/16/1999,0.980716
7/19/1999,0.979638
7/20/1999,0.96038
7/21/1999,0.94943
7/22/1999,0.951265
7/23/1999,0.952691
7/26/1999,0.938606
7/27/1999,0.941212
7/28/1999,0.940038
7/29/1999,0.932983
7/30/1999,0.935044
8/3/1999,0.935685
8/4/1999,0.929084
8/5/1999,0.926235
8/6/1999,0.92779
8/9/1999,0.933913
8/10/1999,0.930246
8/11/1999,0.937345
8/12/1999,0.939622
8/13/1999,0.946468
8/16/1999,0.946681
8/17/1999,0.950675
8/18/1999,0.952061
8/19/1999,0.940054
8/20/1999,0.938979
8/23/1999,0.947505
8/24/1999,0.952571
8/25/1999,0.955109
8/26/1999,0.957477
8/27/1999,0.955393
8/30/1999,0.956944
8/31/1999,0.944712
9/1/1999,0.944259
9/2/1999,0.9354
9/3/1999,0.942204
9/7/1999,0.944538
9/8/1999,0.944578
9/9/1999,0.948101
9/10/1999,0.960797
9/13/1999,0.961672
9/14/1999,0.960806
9/15/1999,0.962873
9/16/1999,0.960096
9/17/1999,0.961931
9/20/1999,0.961084
9/21/1999,0.955946
9/22/1999,0.952556
9/23/1999,0.960712
9/24/1999,0.955879
9/27/1999,0.959039
9/28/1999,0.9516
9/29/1999,0.941573
9/30/1999,0.939378
10/1/1999,0.932427
10/4/1999,0.933743
10/5/1999,0.935103
10/6/1999,0.934974
10/7/1999,0.932307
10/8/1999,0.94046
10/12/1999,0.931639
10/13/1999,0.929104
10/14/1999,0.926225
10/15/1999,0.918154
10/18/1999,0.920818
10/19/1999,0.923469
10/20/1999,0.928433
10/21/1999,0.92486
10/22/1999,0.937106
10/25/1999,0.937651
10/26/1999,0.945569
10/27/1999,0.94902
10/28/1999,0.95105
10/29/1999,0.950365
11/1/1999,0.952153
11/2/1999,0.951149
11/3/1999,0.954057
11/4/1999,0.958046
11/5/1999,0.961072
11/8/1999,0.964461
11/9/1999,0.96138
11/10/1999,0.957223
11/12/1999,0.969102
11/15/1999,0.968778
11/16/1999,0.968876
11/17/1999,0.960895
11/18/1999,0.969922
11/19/1999,0.969634
11/22/1999,0.967753
11/23/1999,0.974255
11/24/1999,0.982512
11/25/1999,0.980598
11/26/1999,0.985867
11/29/1999,0.989602
11/30/1999,0.991993
12/1/1999,0.993061
12/2/1999,0.99754
12/3/1999,0.999079
12/6/1999,0.975808
12/7/1999,0.97818
12/8/1999,0.97444
12/9/1999,0.98378
12/10/1999,0.984455
12/13/1999,0.988503
12/14/1999,0.993826
12/15/1999,0.993639
12/16/1999,0.983468
12/17/1999,0.990555
12/20/1999,0.993915
12/21/1999,0.991014
12/22/1999,0.992665
12/23/1999,0.983446
12/24/1999,0.986269
12/29/1999,0.994803
12/30/1999,0.997419
12/31/1999,0.993769
1/4/2000,0.969131
1/5/2000,0.967376
1/6/2000,0.968911
1/7/2000,0.971353
1/10/2000,0.975518
1/11/2000,0.968016
1/12/2000,0.972001
1/13/2000,0.973438
1/14/2000,0.987484
1/17/2000,0.991349
1/18/2000,0.98794
1/19/2000,0.988603
1/20/2000,0.987741
1/21/2000,0.989863
1/24/2000,0.997621
1/25/2000,0.996038
1/26/2000,0.998221
1/27/2000,1.011044
1/28/2000,1.025085
1/31/2000,1.025495
2/1/2000,1.027746
2/2/2000,1.022684
2/3/2000,1.011656
2/4/2000,1.0247
2/7/2000,1.022469
2/8/2000,1.014104
2/9/2000,1.008489
2/10/2000,1.013497
2/11/2000,1.015915
2/14/2000,1.022086
2/15/2000,1.017168
2/16/2000,1.016468
2/17/2000,1.01468
2/18/2000,1.015869
2/21/2000,1.013359
2/22/2000,0.993702
2/23/2000,0.998729
2/24/2000,1.009284
2/25/2000,1.01957
2/28/2000,1.047016
2/29/2000,1.036158
3/1/2000,1.031047
3/2/2000,1.023534
3/3/2000,1.03574
3/6/2000,1.042735
3/7/2000,1.042005
3/8/2000,1.043528
3/9/2000,1.039825
3/10/2000,1.039509
3/13/2000,1.032088
3/14/2000,1.039381
3/15/2000,1.036158
3/16/2000,1.033392
3/17/2000,1.033909
3/20/2000,1.027549
3/21/2000,1.027949
3/22/2000,1.040916
3/23/2000,1.040349
3/24/2000,1.0266
3/27/2000,1.029869
3/28/2000,1.034882
3/29/2000,1.045165
3/30/2000,1.048757
3/31/2000,1.044842
4/3/2000,1.047569
4/4/2000,1.049423
4/5/2000,1.036062
4/6/2000,1.038218
4/7/2000,1.048412
4/10/2000,1.044082
4/11/2000,1.043642
4/12/2000,1.043642
4/13/2000,1.045264
4/14/2000,1.046358
4/17/2000,1.041029
4/18/2000,1.053047
4/19/2000,1.055321
4/20/2000,1.064729
4/21/2000,1.06602
4/24/2000,1.064382
4/25/2000,1.074476
4/26/2000,1.087765
4/27/2000,1.085866
4/28/2000,1.100528
5/1/2000,1.095682
5/2/2000,1.095692
5/3/2000,1.111506
5/4/2000,1.121902
5/5/2000,1.121511
5/8/2000,1.117134
5/9/2000,1.112273
5/10/2000,1.100781
5/11/2000,1.10065
5/12/2000,1.10065
5/15/2000,1.092368
5/16/2000,1.101046
5/17/2000,1.112508
5/18/2000,1.121273
5/19/2000,1.118108
5/22/2000,1.110432
5/23/2000,1.096534
5/24/2000,1.097869
5/25/2000,1.108635
5/26/2000,1.092688
5/29/2000,1.067898
5/30/2000,1.067151
5/31/2000,1.071834
6/1/2000,1.070671
6/2/2000,1.069061
6/5/2000,1.060114
6/6/2000,1.056283
6/7/2000,1.046354
6/8/2000,1.043283
6/9/2000,1.046478
6/12/2000,1.049559
6/13/2000,1.042866
6/14/2000,1.039389
6/15/2000,1.051304
6/16/2000,1.044609
6/19/2000,1.038621
6/20/2000,1.045018
6/21/2000,1.051846
6/22/2000,1.063038
6/23/2000,1.06443
6/26/2000,1.070801
6/27/2000,1.063158
6/28/2000,1.059521
6/29/2000,1.059004
6/30/2000,1.04602
7/3/2000,1.052399
7/4/2000,1.055732
7/5/2000,1.047444
7/6/2000,1.051215
7/7/2000,1.051425
7/10/2000,1.051198
7/11/2000,1.047904
7/12/2000,1.052188
7/13/2000,1.068233
7/14/2000,1.068155
7/17/2000,1.067784
7/18/2000,1.07032
7/19/2000,1.08346
7/20/2000,1.08253
7/21/2000,1.069611
7/24/2000,1.071551
7/25/2000,1.065999
7/26/2000,1.062168
7/27/2000,1.064303
7/28/2000,1.078939
7/31/2000,1.082107
8/1/2000,1.080929
8/2/2000,1.089325
8/3/2000,1.097858
8/4/2000,1.106171
8/7/2000,1.100385
8/8/2000,1.10503
8/9/2000,1.111766
8/10/2000,1.106941
8/11/2000,1.096198
8/14/2000,1.107725
8/15/2000,1.096078
8/16/2000,1.100495
8/17/2000,1.092111
8/18/2000,1.09077
8/21/2000,1.105915
8/22/2000,1.108954
8/23/2000,1.11901
8/24/2000,1.110581
8/25/2000,1.112534
8/28/2000,1.109325
8/29/2000,1.110371
8/30/2000,1.125338
8/31/2000,1.118305
9/1/2000,1.124129
9/4/2000,1.108537
9/5/2000,1.120937
9/6/2000,1.134868
9/7/2000,1.153616
9/8/2000,1.148484
9/11/2000,1.164085
9/12/2000,1.16171
9/13/2000,1.156854
9/14/2000,1.155152
9/15/2000,1.15469
9/18/2000,1.171154
9/19/2000,1.173393
9/20/2000,1.183314
9/21/2000,1.174219
9/22/2000,1.141488
9/25/2000,1.141764
9/26/2000,1.143706
9/27/2000,1.128104
9/28/2000,1.1339
9/29/2000,1.137253
10/2/2000,1.136266
10/3/2000,1.140543
10/4/2000,1.143952
10/5/2000,1.146459
10/6/2000,1.147481
10/9/2000,1.150431
10/10/2000,1.148257
10/11/2000,1.145756
10/12/2000,1.157255
10/13/2000,1.156501
10/16/2000,1.1726
10/17/2000,1.177905
10/18/2000,1.169229
10/19/2000,1.187396
10/20/2000,1.182571
10/23/2000,1.190859
10/24/2000,1.192821
10/25/2000,1.201657
10/26/2000,1.206322
10/27/2000,1.202693
10/30/2000,1.176159
10/31/2000,1.187812
11/1/2000,1.177995
11/2/2000,1.163797
11/3/2000,1.161451
11/6/2000,1.147891
11/7/2000,1.158992
11/8/2000,1.165278
11/9/2000,1.172478
11/10/2000,1.151093
11/13/2000,1.161586
11/14/2000,1.163332
11/15/2000,1.1634
11/16/2000,1.166113
11/17/2000,1.168341
11/20/2000,1.178946
11/21/2000,1.174053
11/22/2000,1.180622
11/23/2000,1.184795
11/24/2000,1.185708
11/27/2000,1.189913
11/28/2000,1.172333
11/29/2000,1.167376
11/30/2000,1.161635
12/1/2000,1.142433
12/4/2000,1.138288
12/5/2000,1.126937
12/6/2000,1.138938
12/7/2000,1.118216
12/8/2000,1.129679
12/11/2000,1.131862
12/12/2000,1.139748
12/13/2000,1.146985
12/14/2000,1.131143
12/15/2000,1.11541
12/18/2000,1.110655
12/19/2000,1.119494
12/20/2000,1.107702
12/21/2000,1.092707
12/22/2000,1.085866
12/25/2000,1.077462
12/26/2000,1.072888
12/27/2000,1.073556
12/28/2000,1.078665
12/29/2000,1.074667
1/1/2001,1.061508
1/2/2001,1.05845
1/3/2001,1.04744
1/4/2001,1.054179
1/5/2001,1.049468
1/8/2001,1.045454
1/9/2001,1.064702
1/10/2001,1.060258
1/11/2001,1.062284
1/12/2001,1.050234
1/15/2001,1.061777
1/16/2001,1.063138
1/17/2001,1.065786
1/18/2001,1.065112
1/19/2001,1.070763
1/22/2001,1.069904
1/23/2001,1.062009
1/24/2001,1.074255
1/25/2001,1.093981
1/26/2001,1.078416
1/29/2001,1.082986
1/30/2001,1.090988
1/31/2001,1.075575
2/1/2001,1.063294
2/2/2001,1.063088
2/5/2001,1.062334
2/6/2001,1.066745
2/7/2001,1.076642
2/8/2001,1.079189
2/9/2001,1.09079
2/12/2001,1.077379
2/13/2001,1.079439
2/14/2001,1.08815
2/15/2001,1.09558
2/16/2001,1.097312
2/19/2001,1.0943
2/20/2001,1.099242
2/21/2001,1.100875
2/22/2001,1.104133
2/23/2001,1.107115
2/26/2001,1.098216
2/27/2001,1.092756
2/28/2001,1.08291
3/1/2001,1.078682
3/2/2001,1.067578
3/5/2001,1.075236
3/6/2001,1.07987
3/7/2001,1.07275
3/8/2001,1.071673
3/9/2001,1.072125
3/12/2001,1.071065
3/13/2001,1.082468
3/14/2001,1.09528
3/15/2001,1.099099
3/16/2001,1.117503
3/19/2001,1.118314
3/20/2001,1.108907
3/21/2001,1.100258
3/22/2001,1.124276
3/23/2001,1.125816
3/26/2001,1.121251
3/27/2001,1.116905
3/28/2001,1.128144
3/29/2001,1.133307
3/30/2001,1.139699
4/2/2001,1.141634
4/3/2001,1.129183
4/4/2001,1.115573
4/5/2001,1.110088
4/6/2001,1.110445
4/9/2001,1.107507
4/10/2001,1.114641
4/11/2001,1.123582
4/12/2001,1.129772
4/13/2001,1.12455
4/16/2001,1.124796
4/17/2001,1.13748
4/18/2001,1.135062
4/19/2001,1.131546
4/20/2001,1.11526
4/23/2001,1.115037
4/24/2001,1.114776
4/25/2001,1.118193
4/26/2001,1.114639
4/27/2001,1.107285
4/30/2001,1.122293
5/1/2001,1.125387
5/2/2001,1.119494
5/3/2001,1.116269
5/4/2001,1.124768
5/7/2001,1.120722
5/8/2001,1.123175
5/9/2001,1.130823
5/10/2001,1.129369
5/11/2001,1.135252
5/14/2001,1.143004
5/15/2001,1.144508
5/16/2001,1.138045
5/17/2001,1.132552
5/18/2001,1.1335
5/21/2001,1.135899
5/22/2001,1.140804
5/23/2001,1.156465
5/24/2001,1.168643
5/25/2001,1.166919
5/28/2001,1.162048
5/29/2001,1.163034
5/30/2001,1.169112
5/31/2001,1.167387
6/1/2001,1.182646
6/4/2001,1.179829
6/5/2001,1.180638
6/6/2001,1.17136
6/7/2001,1.179732
6/8/2001,1.175054
6/11/2001,1.176056
6/12/2001,1.187719
6/13/2001,1.172264
6/14/2001,1.170344
6/15/2001,1.159219
6/18/2001,1.15848
6/19/2001,1.161238
6/20/2001,1.171303
6/21/2001,1.170001
6/22/2001,1.170823
6/25/2001,1.166861
6/26/2001,1.163602
6/27/2001,1.157876
6/28/2001,1.163602
6/29/2001,1.184624
7/2/2001,1.176955
7/3/2001,1.179523
7/4/2001,1.178828
7/5/2001,1.180289
7/6/2001,1.1956
7/9/2001,1.180707
7/10/2001,1.175433
7/11/2001,1.16918
7/12/2001,1.165365
7/13/2001,1.171646
7/16/2001,1.170823
7/17/2001,1.173158
7/18/2001,1.163941
7/19/2001,1.145082
7/20/2001,1.14771
7/24/2001,1.150682
7/25/2001,1.145475
7/26/2001,1.140706
7/27/2001,1.139147
7/30/2001,1.140706
7/31/2001,1.144034
8/1/2001,1.141227
8/2/2001,1.135332
8/3/2001,1.132054
8/6/2001,1.131222
8/7/2001,1.134881
8/8/2001,1.140056
8/9/2001,1.134687
8/10/2001,1.121202
8/13/2001,1.119382
8/14/2001,1.114889
8/15/2001,1.108033
8/16/2001,1.094331
8/17/2001,1.097333
8/20/2001,1.090453
8/21/2001,1.093912
8/22/2001,1.089087
8/23/2001,1.094571
8/24/2001,1.092657
8/27/2001,1.093673
8/28/2001,1.097333
8/29/2001,1.09583
8/30/2001,1.10017
8/31/2001,1.091703
9/3/2001,1.097574
9/4/2001,1.102232
9/5/2001,1.12619
9/6/2001,1.12905
9/7/2001,1.117443
9/10/2001,1.101989
9/11/2001,1.113462
9/13/2001,1.103083
9/14/2001,1.100292
9/17/2001,1.086189
9/18/2001,1.081256
9/19/2001,1.07904
9/20/2001,1.078923
9/21/2001,1.078749
9/24/2001,1.093255
9/25/2001,1.091167
9/26/2001,1.083893
9/27/2001,1.083365
9/28/2001,1.089384
10/1/2001,1.098901
10/2/2001,1.090037
10/3/2001,1.089503
10/4/2001,1.094451
10/5/2001,1.0898
10/8/2001,1.088554
10/9/2001,1.086484
10/10/2001,1.09511
10/11/2001,1.098177
10/12/2001,1.108095
10/15/2001,1.096852
10/16/2001,1.100897
10/17/2001,1.10114
10/18/2001,1.108095
10/19/2001,1.107052
10/22/2001,1.112842
10/23/2001,1.121894
10/24/2001,1.123659
10/25/2001,1.119257
10/26/2001,1.120574
10/29/2001,1.120134
10/30/2001,1.105767
10/31/2001,1.105767
11/1/2001,1.110864
11/5/2001,1.107972
11/6/2001,1.113276
11/7/2001,1.1152
11/8/2001,1.11402
11/9/2001,1.119758
11/13/2001,1.117693
11/14/2001,1.135912
11/15/2001,1.131798
11/16/2001,1.13443
11/19/2001,1.130646
11/20/2001,1.136622
11/21/2001,1.132759
11/22/2001,1.137333
11/23/2001,1.138887
11/26/2001,1.139017
11/27/2001,1.135783
11/28/2001,1.132824
11/29/2001,1.127714
11/30/2001,1.12676
12/3/2001,1.115511
12/4/2001,1.12328
12/5/2001,1.123217
12/6/2001,1.127015
12/7/2001,1.117381
12/10/2001,1.123091
12/11/2001,1.123091
12/12/2001,1.122776
12/13/2001,1.113152
12/14/2001,1.120197
12/17/2001,1.106746
12/18/2001,1.106562
12/19/2001,1.108156
12/20/2001,1.10994
12/21/2001,1.110618
12/24/2001,1.125682
12/26/2001,1.134752
12/27/2001,1.13688
12/28/2001,1.132567
12/31/2001,1.132311
1/2/2002,1.12429
1/3/2002,1.106991
1/4/2002,1.112842
1/7/2002,1.115885
1/8/2002,1.119695
1/9/2002,1.119758
1/10/2002,1.121516
1/11/2002,1.121516
1/14/2002,1.119006
1/15/2002,1.118693
1/16/2002,1.122712
1/17/2002,1.132759
1/18/2002,1.134623
1/21/2002,1.128987
1/22/2002,1.131606
1/23/2002,1.128413
1/24/2002,1.138563
1/25/2002,1.138952
1/28/2002,1.155802
1/29/2002,1.159555
1/30/2002,1.155936
1/31/2002,1.161036
2/1/2002,1.16428
2/4/2002,1.161305
2/5/2002,1.148897
2/6/2002,1.151875
2/7/2002,1.152538
2/8/2002,1.147974
2/11/2002,1.148699
2/12/2002,1.140446
2/13/2002,1.140836
2/14/2002,1.148238
2/15/2002,1.144427
2/18/2002,1.145082
2/19/2002,1.148567
2/20/2002,1.141227
2/21/2002,1.149954
2/22/2002,1.149425
2/25/2002,1.143184
2/26/2002,1.150549
2/27/2002,1.157273
2/28/2002,1.155535
3/1/2002,1.151145
3/4/2002,1.156404
3/5/2002,1.150152
3/6/2002,1.14646
3/7/2002,1.141618
3/8/2002,1.133016
3/11/2002,1.143838
3/12/2002,1.142074
3/13/2002,1.142922
3/14/2002,1.141813
3/18/2002,1.136299
3/19/2002,1.133144
